Timestamp,Class,Confidence Score,FPS,Error,Delta Error
11,track,"tensor([0.9501], device='cuda:0')",0.00,-16.43,0.0
14,track,"tensor([0.9507], device='cuda:0')",0.32,-16.29,0.14
14,track,"tensor([0.9511], device='cuda:0')",3.00,-16.49,-0.2
15,track,"tensor([0.9512], device='cuda:0')",2.82,-16.46,0.03
15,track,"tensor([0.9513], device='cuda:0')",3.69,-16.44,0.02
15,track,"tensor([0.9534], device='cuda:0')",3.10,-17.42,-0.98
15,track,"tensor([0.9542], device='cuda:0')",3.44,-19.18,-1.76
16,track,"tensor([0.9531], device='cuda:0')",3.77,-21.03,-1.85
16,track,"tensor([0.9563], device='cuda:0')",3.18,-22.48,-1.45
16,track,"tensor([0.9569], device='cuda:0')",2.44,-21.84,0.64
17,track,"tensor([0.9560], device='cuda:0')",3.39,-19.22,2.62
17,track,"tensor([0.9549], device='cuda:0')",3.52,-16.44,2.78
17,track,"tensor([0.9550], device='cuda:0')",4.94,-16.43,0.01
17,track,"tensor([0.9550], device='cuda:0')",3.82,-16.44,-0.01
18,track,"tensor([0.9550], device='cuda:0')",4.09,-16.44,0.0
18,track,"tensor([0.9547], device='cuda:0')",3.72,-16.42,0.02
18,track,"tensor([0.9545], device='cuda:0')",3.98,-17.3,-0.88
18,track,"tensor([0.9550], device='cuda:0')",3.72,-16.44,0.86
19,track,"tensor([0.9546], device='cuda:0')",3.46,-16.44,0.0
19,track,"tensor([0.9542], device='cuda:0')",3.46,-16.43,0.01
19,track,"tensor([0.9543], device='cuda:0')",3.88,-16.42,0.01
20,track,"tensor([0.9550], device='cuda:0')",3.31,-16.44,-0.02
20,track,"tensor([0.9552], device='cuda:0')",3.73,-17.28,-0.84
20,track,"tensor([0.9546], device='cuda:0')",3.10,-16.43,0.85
21,track,"tensor([0.9549], device='cuda:0')",2.72,-16.42,0.01
21,track,"tensor([0.9553], device='cuda:0')",3.20,-16.43,-0.01
21,track,"tensor([0.9557], device='cuda:0')",2.75,-17.29,-0.86
22,track,"tensor([0.9554], device='cuda:0')",2.46,-17.27,0.02
22,track,"tensor([0.9557], device='cuda:0')",2.91,-16.44,0.83
22,track,"tensor([0.9552], device='cuda:0')",2.69,-16.44,0.0
23,track,"tensor([0.9550], device='cuda:0')",3.76,-16.43,0.01
23,track,"tensor([0.9554], device='cuda:0')",2.37,-16.43,0.0
23,track,"tensor([0.9550], device='cuda:0')",2.86,-16.43,0.0
24,track,"tensor([0.9553], device='cuda:0')",3.06,-17.25,-0.82
24,track,"tensor([0.9555], device='cuda:0')",3.20,-17.27,-0.02
24,track,"tensor([0.9547], device='cuda:0')",3.37,-16.41,0.86
25,track,"tensor([0.9525], device='cuda:0')",3.48,-17.3,-0.89
25,track,"tensor([0.9546], device='cuda:0')",2.99,-17.28,0.02
25,track,"tensor([0.9536], device='cuda:0')",3.18,-17.3,-0.02
26,track,"tensor([0.9527], device='cuda:0')",2.74,-16.49,0.81
26,track,"tensor([0.9504], device='cuda:0')",3.31,-16.4,0.09
26,track,"tensor([0.9513], device='cuda:0')",3.30,-16.44,-0.04
27,track,"tensor([0.9514], device='cuda:0')",1.69,-17.32,-0.88
27,track,"tensor([0.9536], device='cuda:0')",2.95,-17.29,0.03
28,track,"tensor([0.9551], device='cuda:0')",3.22,-17.3,-0.01
28,track,"tensor([0.9509], device='cuda:0')",3.33,-17.28,0.02
28,track,"tensor([0.9580], device='cuda:0')",3.47,-23.49,-6.21
28,track,"tensor([0.9641], device='cuda:0')",3.92,-28.02,-4.53
29,track,"tensor([0.9649], device='cuda:0')",3.04,-29.94,-1.92
29,track,"tensor([0.9626], device='cuda:0')",3.20,-32.16,-2.22
29,track,"tensor([0.9558], device='cuda:0')",3.04,-33.83,-1.67
30,track,"tensor([0.9637], device='cuda:0')",3.21,-28.52,5.31
30,track,"tensor([0.9607], device='cuda:0')",3.53,-26.79,1.73
30,track,"tensor([0.9565], device='cuda:0')",3.09,-23.23,3.56
30,track,"tensor([0.9505], device='cuda:0')",4.05,-16.92,6.31
31,track,"tensor([0.9488], device='cuda:0')",3.35,-11.11,5.81
31,track,"tensor([0.9616], device='cuda:0')",3.49,-8.34,2.77
31,track,"tensor([0.9603], device='cuda:0')",3.26,-4.74,3.6
