Timestamp,Class,Confidence Score,FPS,Error,Delta Error
38,track,"tensor([0.9596], device='cuda:0')",0.00,-10.69,0.0
38,track,"tensor([0.9609], device='cuda:0')",1.20,-10.87,-0.18
39,track,"tensor([0.9611], device='cuda:0')",3.79,-10.89,-0.02
39,track,"tensor([0.9616], device='cuda:0')",3.34,-10.88,0.01
39,track,"tensor([0.9619], device='cuda:0')",2.86,-10.87,0.01
40,track,"tensor([0.9642], device='cuda:0')",3.10,-10.83,0.04
40,track,"tensor([0.9640], device='cuda:0')",3.36,-10.85,-0.02
40,track,"tensor([0.9638], device='cuda:0')",3.49,-10.84,0.01
40,track,"tensor([0.9643], device='cuda:0')",4.71,-10.83,0.01
41,track,"tensor([0.9644], device='cuda:0')",3.53,-10.84,-0.01
41,track,"tensor([0.9640], device='cuda:0')",2.75,-10.83,0.01
41,track,"tensor([0.9643], device='cuda:0')",3.17,-10.83,0.0
42,track,"tensor([0.9642], device='cuda:0')",2.94,-10.83,0.0
42,track,"tensor([0.9641], device='cuda:0')",3.56,-10.85,-0.02
42,track,"tensor([0.9637], device='cuda:0')",2.78,-10.84,0.01
43,track,"tensor([0.9640], device='cuda:0')",3.19,-10.83,0.01
43,track,"tensor([0.9640], device='cuda:0')",2.70,-10.83,0.0
43,track,"tensor([0.9643], device='cuda:0')",2.64,-10.83,0.0
44,track,"tensor([0.9642], device='cuda:0')",3.26,-10.84,-0.01
44,track,"tensor([0.9643], device='cuda:0')",3.68,-10.83,0.01
44,track,"tensor([0.9642], device='cuda:0')",3.85,-10.83,0.0
44,track,"tensor([0.9639], device='cuda:0')",3.74,-10.83,0.0
45,track,"tensor([0.9641], device='cuda:0')",3.04,-10.83,0.0
45,track,"tensor([0.9643], device='cuda:0')",3.15,-10.85,-0.02
45,track,"tensor([0.9640], device='cuda:0')",3.31,-10.85,0.0
46,track,"tensor([0.9638], device='cuda:0')",3.09,-10.83,0.02
46,track,"tensor([0.9645], device='cuda:0')",3.45,-10.83,0.0
46,track,"tensor([0.9639], device='cuda:0')",3.64,-10.83,0.0
47,track,"tensor([0.9642], device='cuda:0')",3.72,-10.84,-0.01
47,track,"tensor([0.9640], device='cuda:0')",3.51,-10.84,0.0
47,track,"tensor([0.9638], device='cuda:0')",3.16,-10.84,0.0
47,track,"tensor([0.9639], device='cuda:0')",4.65,-10.85,-0.01
48,track,"tensor([0.9637], device='cuda:0')",3.10,-10.84,0.01
48,track,"tensor([0.9637], device='cuda:0')",3.49,-10.83,0.01
