Timestamp,Class,Confidence Score,FPS,Error,Delta Error
13,track,"tensor([0.9369], device='cuda:0')",0.00,-15.21,0.0
14,track,"tensor([0.9435], device='cuda:0')",1.67,-15.1,0.11
14,track,"tensor([0.9393], device='cuda:0')",3.39,-15.16,-0.06
14,track,"tensor([0.9399], device='cuda:0')",3.12,-15.23,-0.07
15,track,"tensor([0.9386], device='cuda:0')",3.40,-15.13,0.1
15,track,"tensor([0.9431], device='cuda:0')",3.62,-15.04,0.09
15,track,"tensor([0.9448], device='cuda:0')",3.34,-15.01,0.03
15,track,"tensor([0.9425], device='cuda:0')",3.33,-15.04,-0.03
16,track,"tensor([0.9410], device='cuda:0')",4.48,-15.01,0.03
16,track,"tensor([0.9406], device='cuda:0')",2.80,-15.0,0.01
16,track,"tensor([0.9434], device='cuda:0')",2.77,-15.0,0.0
17,track,"tensor([0.9426], device='cuda:0')",3.16,-15.03,-0.03
17,track,"tensor([0.9431], device='cuda:0')",3.06,-15.04,-0.01
17,track,"tensor([0.9415], device='cuda:0')",4.95,-15.04,0.0
18,track,"tensor([0.9443], device='cuda:0')",3.38,-15.03,0.01
18,track,"tensor([0.9430], device='cuda:0')",4.67,-15.06,-0.03
18,track,"tensor([0.9446], device='cuda:0')",3.23,-15.17,-0.11
18,track,"tensor([0.9470], device='cuda:0')",2.90,-15.17,0.0
19,track,"tensor([0.9421], device='cuda:0')",2.65,-15.05,0.12
19,track,"tensor([0.9429], device='cuda:0')",3.08,-15.09,-0.04
19,track,"tensor([0.9426], device='cuda:0')",3.52,-15.2,-0.11
20,track,"tensor([0.9447], device='cuda:0')",3.46,-15.08,0.12
20,track,"tensor([0.9448], device='cuda:0')",2.54,-15.15,-0.07
20,track,"tensor([0.9416], device='cuda:0')",3.33,-15.06,0.09
21,track,"tensor([0.9441], device='cuda:0')",3.18,-15.15,-0.09
21,track,"tensor([0.9432], device='cuda:0')",3.10,-15.07,0.08
21,track,"tensor([0.9418], device='cuda:0')",3.06,-15.1,-0.03
22,track,"tensor([0.9434], device='cuda:0')",3.20,-15.13,-0.03
22,track,"tensor([0.9441], device='cuda:0')",3.13,-15.15,-0.02
22,track,"tensor([0.9433], device='cuda:0')",3.99,-15.05,0.1
23,track,"tensor([0.9447], device='cuda:0')",3.00,-15.04,0.01
23,track,"tensor([0.9430], device='cuda:0')",3.07,-15.02,0.02
23,track,"tensor([0.9423], device='cuda:0')",3.21,-15.04,-0.02
24,track,"tensor([0.9428], device='cuda:0')",3.26,-15.04,0.0
24,track,"tensor([0.9411], device='cuda:0')",3.28,-15.04,0.0
24,track,"tensor([0.9436], device='cuda:0')",3.30,-15.07,-0.03
24,track,"tensor([0.9427], device='cuda:0')",3.09,-15.03,0.04
25,track,"tensor([0.9411], device='cuda:0')",2.65,-15.06,-0.03
25,track,"tensor([0.9437], device='cuda:0')",3.54,-15.04,0.02
25,track,"tensor([0.9430], device='cuda:0')",3.01,-15.02,0.02
26,track,"tensor([0.9413], device='cuda:0')",3.24,-15.02,0.0
26,track,"tensor([0.9409], device='cuda:0')",4.07,-15.0,0.02
26,track,"tensor([0.9417], device='cuda:0')",2.89,-15.03,-0.03
27,track,"tensor([0.9429], device='cuda:0')",3.34,-15.03,0.0
27,track,"tensor([0.9422], device='cuda:0')",3.41,-15.04,-0.01
27,track,"tensor([0.9415], device='cuda:0')",3.13,-15.02,0.02
28,track,"tensor([0.9404], device='cuda:0')",3.33,-15.04,-0.02
28,track,"tensor([0.9406], device='cuda:0')",3.70,-15.03,0.01
28,track,"tensor([0.9400], device='cuda:0')",3.31,-15.09,-0.06
28,track,"tensor([0.9416], device='cuda:0')",3.03,-15.1,-0.01
29,track,"tensor([0.9427], device='cuda:0')",3.09,-15.07,0.03
29,track,"tensor([0.9424], device='cuda:0')",3.54,-15.15,-0.08
29,track,"tensor([0.9402], device='cuda:0')",2.77,-15.01,0.14
30,track,"tensor([0.9400], device='cuda:0')",3.19,-15.05,-0.04
