Timestamp,Class,Confidence Score,FPS,Error,Delta Error
24,track,"tensor([0.9318], device='cuda:0')",0.00,-22.01,0.0
26,track,"tensor([0.9215], device='cuda:0')",0.46,-25.31,-3.3
26,track,"tensor([0.9397], device='cuda:0')",3.33,-25.08,0.23
26,track,"tensor([0.9354], device='cuda:0')",3.36,-25.55,-0.47
27,track,"tensor([0.9340], device='cuda:0')",3.46,-25.65,-0.1
27,track,"tensor([0.9469], device='cuda:0')",4.66,-17.13,8.52
27,track,"tensor([0.9487], device='cuda:0')",3.48,-17.2,-0.07
27,track,"tensor([0.9484], device='cuda:0')",3.00,-17.24,-0.04
28,track,"tensor([0.9477], device='cuda:0')",3.43,-17.25,-0.01
28,track,"tensor([0.9470], device='cuda:0')",2.94,-17.23,0.02
28,track,"tensor([0.9469], device='cuda:0')",3.56,-17.17,0.06
29,track,"tensor([0.9476], device='cuda:0')",4.18,-17.24,-0.07
29,track,"tensor([0.9474], device='cuda:0')",3.33,-17.23,0.01
29,track,"tensor([0.9465], device='cuda:0')",3.16,-16.38,0.85
29,track,"tensor([0.9472], device='cuda:0')",4.97,-16.29,0.09
30,track,"tensor([0.9540], device='cuda:0')",3.78,-16.52,-0.23
30,track,"tensor([0.9365], device='cuda:0')",3.72,-16.55,-0.03
30,track,"tensor([0.9511], device='cuda:0')",3.43,-17.54,-0.99
30,track,"tensor([0.9456], device='cuda:0')",3.51,-17.79,-0.25
31,track,"tensor([0.9420], device='cuda:0')",3.30,-19.42,-1.63
31,track,"tensor([0.9532], device='cuda:0')",3.20,-19.81,-0.39
31,track,"tensor([0.9510], device='cuda:0')",3.27,-18.92,0.89
32,track,"tensor([0.9544], device='cuda:0')",4.28,-20.13,-1.21
32,track,"tensor([0.9493], device='cuda:0')",2.87,-21.0,-0.87
32,track,"tensor([0.9484], device='cuda:0')",2.48,-17.58,3.42
33,track,"tensor([0.9462], device='cuda:0')",2.81,-20.47,-2.89
33,track,"tensor([0.9441], device='cuda:0')",3.03,-14.37,6.1
33,track,"tensor([0.9431], device='cuda:0')",4.65,-16.14,-1.77
