Timestamp,Class,Confidence Score,FPS,Error,Delta Error
04,track,"tensor([0.8377], device='cuda:0')",3.88,56.63,-5.73
05,track,"tensor([0.7224], device='cuda:0')",3.34,58.04,1.41
05,track,"tensor([0.8919], device='cuda:0')",2.87,54.13,-3.91
05,track,"tensor([0.6445], device='cuda:0')",3.21,50.45,-3.68
06,track,"tensor([0.7980], device='cuda:0')",3.51,48.66,-1.79
06,track,"tensor([0.9082], device='cuda:0')",3.77,46.33,-2.33
06,track,"tensor([0.8986], device='cuda:0')",3.57,44.96,-1.37
06,track,"tensor([0.9486], device='cuda:0')",3.63,40.22,-4.74
07,track,"tensor([0.9470], device='cuda:0')",3.53,36.34,-3.88
07,track,"tensor([0.9496], device='cuda:0')",3.36,34.11,-2.23
07,track,"tensor([0.9399], device='cuda:0')",3.23,31.03,-3.08
08,track,"tensor([0.9410], device='cuda:0')",2.79,28.48,-2.55
08,track,"tensor([0.9366], device='cuda:0')",3.46,25.36,-3.12
08,track,"tensor([0.9287], device='cuda:0')",2.95,20.94,-4.42
09,track,"tensor([0.9243], device='cuda:0')",3.65,17.66,-3.28
09,track,"tensor([0.9337], device='cuda:0')",4.81,11.82,-5.84
09,track,"tensor([0.9467], device='cuda:0')",2.51,4.56,-7.26
09,track,"tensor([0.9459], device='cuda:0')",4.47,-1.74,-6.3
10,track,"tensor([0.9269], device='cuda:0')",4.44,-5.65,-3.91
10,track,"tensor([0.8973], device='cuda:0')",4.45,-10.55,-4.9
10,track,"tensor([0.9336], device='cuda:0')",3.22,-14.95,-4.4
10,track,"tensor([0.9165], device='cuda:0')",4.16,-14.63,0.32
11,track,"tensor([0.9338], device='cuda:0')",3.13,-14.81,-0.18
11,track,"tensor([0.9215], device='cuda:0')",3.29,-16.59,-1.78
11,track,"tensor([0.9092], device='cuda:0')",2.75,-18.29,-1.7
12,track,"tensor([0.8864], device='cuda:0')",3.11,-19.23,-0.94
12,track,"tensor([0.9106], device='cuda:0')",3.26,-20.3,-1.07
12,track,"tensor([0.9097], device='cuda:0')",2.64,-17.77,2.53
13,track,"tensor([0.9116], device='cuda:0')",3.49,-17.04,0.73
13,track,"tensor([0.9253], device='cuda:0')",3.44,-15.72,1.32
13,track,"tensor([0.9253], device='cuda:0')",2.86,-16.23,-0.51
14,track,"tensor([0.9284], device='cuda:0')",3.87,-15.01,1.22
14,track,"tensor([0.9206], device='cuda:0')",3.59,-14.47,0.54
14,track,"tensor([0.9022], device='cuda:0')",3.32,-12.38,2.09
15,track,"tensor([0.9489], device='cuda:0')",3.49,-11.32,1.06
15,track,"tensor([0.9555], device='cuda:0')",3.08,-10.4,0.92
15,track,"tensor([0.9469], device='cuda:0')",3.83,-8.18,2.22
15,track,"tensor([0.9501], device='cuda:0')",4.86,-4.71,3.47
16,track,"tensor([0.9489], device='cuda:0')",2.97,-2.77,1.94
16,track,"tensor([0.9393], device='cuda:0')",3.75,-0.72,2.05
16,track,"tensor([0.9446], device='cuda:0')",3.69,1.17,1.89
16,track,"tensor([0.9312], device='cuda:0')",3.48,-0.86,-2.03
17,track,"tensor([0.9408], device='cuda:0')",3.01,-1.52,-0.66
17,track,"tensor([0.9493], device='cuda:0')",3.76,-0.94,0.58
17,track,"tensor([0.9476], device='cuda:0')",3.34,-0.31,0.63
18,track,"tensor([0.9497], device='cuda:0')",3.11,-0.93,-0.62
18,track,"tensor([0.9507], device='cuda:0')",3.36,-1.53,-0.6
18,track,"tensor([0.9502], device='cuda:0')",3.56,-2.46,-0.93
19,track,"tensor([0.9484], device='cuda:0')",3.36,-2.19,0.27
19,track,"tensor([0.9456], device='cuda:0')",3.79,-1.33,0.86
19,track,"tensor([0.9491], device='cuda:0')",5.38,-0.86,0.47
19,track,"tensor([0.9464], device='cuda:0')",3.52,-0.04,0.82
20,track,"tensor([0.9492], device='cuda:0')",3.37,1.7,1.74
20,track,"tensor([0.9513], device='cuda:0')",3.37,2.22,0.52
20,track,"tensor([0.9537], device='cuda:0')",3.03,2.19,-0.03
21,track,"tensor([0.9492], device='cuda:0')",3.21,2.71,0.52
21,track,"tensor([0.9506], device='cuda:0')",3.94,3.05,0.34
21,track,"tensor([0.9493], device='cuda:0')",3.61,2.26,-0.79
21,track,"tensor([0.9510], device='cuda:0')",3.61,1.84,-0.42
22,track,"tensor([0.9547], device='cuda:0')",3.79,0.55,-1.29
22,track,"tensor([0.9521], device='cuda:0')",3.36,0.84,0.29
22,track,"tensor([0.9441], device='cuda:0')",3.30,1.03,0.19
23,track,"tensor([0.9435], device='cuda:0')",3.30,1.03,0.0
23,track,"tensor([0.9496], device='cuda:0')",3.38,1.55,0.52
23,track,"tensor([0.9488], device='cuda:0')",3.31,1.8,0.25
23,track,"tensor([0.9383], device='cuda:0')",3.43,2.05,0.25
24,track,"tensor([0.9364], device='cuda:0')",3.54,2.08,0.03
24,track,"tensor([0.9482], device='cuda:0')",3.29,1.74,-0.34
24,track,"tensor([0.9494], device='cuda:0')",3.45,1.69,-0.05
25,track,"tensor([0.9509], device='cuda:0')",3.01,1.65,-0.04
25,track,"tensor([0.9442], device='cuda:0')",3.22,1.98,0.33
25,track,"tensor([0.9481], device='cuda:0')",3.23,1.85,-0.13
26,track,"tensor([0.9468], device='cuda:0')",3.42,1.59,-0.26
26,track,"tensor([0.9489], device='cuda:0')",3.08,0.69,-0.9
26,track,"tensor([0.9458], device='cuda:0')",3.46,1.17,0.48
26,track,"tensor([0.9440], device='cuda:0')",3.44,1.46,0.29
27,track,"tensor([0.9463], device='cuda:0')",3.43,1.18,-0.28
27,track,"tensor([0.9384], device='cuda:0')",3.04,1.37,0.19
27,track,"tensor([0.9472], device='cuda:0')",3.62,1.71,0.34
28,track,"tensor([0.9511], device='cuda:0')",3.41,1.26,-0.45
28,track,"tensor([0.9486], device='cuda:0')",3.45,2.0,0.74
28,track,"tensor([0.9476], device='cuda:0')",3.02,2.04,0.04
29,track,"tensor([0.9538], device='cuda:0')",3.04,1.44,-0.6
29,track,"tensor([0.9537], device='cuda:0')",3.07,1.66,0.22
29,track,"tensor([0.9456], device='cuda:0')",3.61,2.05,0.39
29,track,"tensor([0.9329], device='cuda:0')",3.58,2.82,0.77
30,track,"tensor([0.9291], device='cuda:0')",3.24,2.81,-0.01
30,track,"tensor([0.9363], device='cuda:0')",3.42,3.18,0.37
30,track,"tensor([0.9412], device='cuda:0')",3.46,2.74,-0.44
31,track,"tensor([0.9295], device='cuda:0')",4.33,3.47,0.73
31,track,"tensor([0.9347], device='cuda:0')",3.39,2.84,-0.63
31,track,"tensor([0.9317], device='cuda:0')",3.27,2.51,-0.33
32,track,"tensor([0.9375], device='cuda:0')",3.15,2.28,-0.23
32,track,"tensor([0.9311], device='cuda:0')",3.14,2.72,0.44
32,track,"tensor([0.9284], device='cuda:0')",3.70,2.39,-0.33
32,track,"tensor([0.9028], device='cuda:0')",3.61,2.85,0.46
33,track,"tensor([0.8983], device='cuda:0')",3.63,2.75,-0.1
33,end-track,"tensor([0.6398], device='cuda:0')",3.66,0,0
33,end-track,"tensor([0.5521], device='cuda:0')",3.46,0,0
33,end-track,"tensor([0.6537], device='cuda:0')",3.60,0,0
34,end-track,"tensor([0.7879], device='cuda:0')",6.10,0,0
34,end-track,"tensor([0.8379], device='cuda:0')",3.79,0,0
34,end-track,"tensor([0.7362], device='cuda:0')",3.71,0,0
34,end-track,"tensor([0.7890], device='cuda:0')",3.62,0,0
35,end-track,"tensor([0.5356], device='cuda:0')",3.84,0,0
35,end-track,"tensor([0.7934], device='cuda:0')",4.95,0,0
35,end-track,"tensor([0.8486], device='cuda:0')",3.23,0,0
35,end-track,"tensor([0.8296], device='cuda:0')",3.70,0,0
36,end-track,"tensor([0.8522], device='cuda:0')",3.18,0,0
36,end-track,"tensor([0.8294], device='cuda:0')",3.82,0,0
36,end-track,"tensor([0.8343], device='cuda:0')",3.63,0,0
37,end-track,"tensor([0.8519], device='cuda:0')",3.09,0,0
37,end-track,"tensor([0.8756], device='cuda:0')",3.80,0,0
37,end-track,"tensor([0.8749], device='cuda:0')",3.73,0,0
37,end-track,"tensor([0.8781], device='cuda:0')",3.64,0,0
38,end-track,"tensor([0.8822], device='cuda:0')",3.61,0,0
38,end-track,"tensor([0.5753], device='cuda:0')",3.80,0,0
