Timestamp,Class,Confidence Score,FPS,Error,Delta Error
32,track,"tensor([0.9498], device='cuda:0')",4.16,-11.72,-0.02
32,track,"tensor([0.9497], device='cuda:0')",3.02,-11.72,0.0
32,track,"tensor([0.9494], device='cuda:0')",3.53,-11.72,0.0
32,track,"tensor([0.9501], device='cuda:0')",3.29,-11.87,-0.15
33,track,"tensor([0.9502], device='cuda:0')",4.24,-11.7,0.17
33,track,"tensor([0.9504], device='cuda:0')",2.97,-11.67,0.03
33,track,"tensor([0.9501], device='cuda:0')",3.21,-11.7,-0.03
34,track,"tensor([0.9500], device='cuda:0')",3.21,-11.73,-0.03
34,track,"tensor([0.9497], device='cuda:0')",3.67,-11.73,0.0
34,track,"tensor([0.9498], device='cuda:0')",2.79,-11.75,-0.02
35,track,"tensor([0.9505], device='cuda:0')",3.39,-11.7,0.05
35,track,"tensor([0.9511], device='cuda:0')",3.06,-11.7,0.0
35,track,"tensor([0.9506], device='cuda:0')",2.57,-11.69,0.01
36,track,"tensor([0.9502], device='cuda:0')",3.04,-11.69,0.0
36,track,"tensor([0.9499], device='cuda:0')",3.32,-11.73,-0.04
36,track,"tensor([0.9505], device='cuda:0')",3.40,-11.91,-0.18
37,track,"tensor([0.9503], device='cuda:0')",3.34,-11.87,0.04
37,track,"tensor([0.9505], device='cuda:0')",6.22,-11.93,-0.06
37,track,"tensor([0.9505], device='cuda:0')",2.76,-11.7,0.23
37,track,"tensor([0.9498], device='cuda:0')",2.96,-11.71,-0.01
38,track,"tensor([0.9507], device='cuda:0')",3.38,-11.71,0.0
38,track,"tensor([0.9502], device='cuda:0')",3.17,-11.91,-0.2
38,track,"tensor([0.9505], device='cuda:0')",4.51,-11.69,0.22
39,track,"tensor([0.9503], device='cuda:0')",3.51,-11.7,-0.01
39,track,"tensor([0.9501], device='cuda:0')",3.08,-11.73,-0.03
39,track,"tensor([0.9503], device='cuda:0')",3.26,-11.73,0.0
39,track,"tensor([0.9502], device='cuda:0')",4.09,-11.73,0.0
40,track,"tensor([0.9503], device='cuda:0')",2.92,-11.7,0.03
40,track,"tensor([0.9504], device='cuda:0')",3.63,-11.85,-0.15
40,track,"tensor([0.9509], device='cuda:0')",2.93,-11.72,0.13
41,track,"tensor([0.9502], device='cuda:0')",3.16,-12.62,-0.9
41,track,"tensor([0.9503], device='cuda:0')",2.86,-11.72,0.9
41,track,"tensor([0.9509], device='cuda:0')",3.27,-11.9,-0.18
42,track,"tensor([0.9504], device='cuda:0')",4.90,-11.74,0.16
42,track,"tensor([0.9509], device='cuda:0')",3.20,-11.7,0.04
42,track,"tensor([0.9501], device='cuda:0')",4.14,-11.9,-0.2
42,track,"tensor([0.9504], device='cuda:0')",3.98,-11.72,0.18
43,track,"tensor([0.9515], device='cuda:0')",3.40,-11.85,-0.13
43,track,"tensor([0.9505], device='cuda:0')",3.81,-11.73,0.12
43,track,"tensor([0.9510], device='cuda:0')",3.35,-11.83,-0.1
44,track,"tensor([0.9515], device='cuda:0')",3.08,-11.83,0.0
44,track,"tensor([0.9511], device='cuda:0')",3.26,-11.7,0.13
44,track,"tensor([0.9508], device='cuda:0')",3.39,-11.89,-0.19
44,track,"tensor([0.9513], device='cuda:0')",3.53,-11.8,0.09
45,track,"tensor([0.9519], device='cuda:0')",3.47,-11.72,0.08
45,track,"tensor([0.9510], device='cuda:0')",3.18,-11.88,-0.16
45,track,"tensor([0.9510], device='cuda:0')",2.91,-11.84,0.04
46,track,"tensor([0.9511], device='cuda:0')",3.24,-11.72,0.12
46,track,"tensor([0.9514], device='cuda:0')",3.28,-11.86,-0.14
46,track,"tensor([0.9518], device='cuda:0')",3.40,-11.78,0.08
47,track,"tensor([0.9505], device='cuda:0')",3.30,-11.89,-0.11
47,track,"tensor([0.9510], device='cuda:0')",3.46,-11.88,0.01
47,track,"tensor([0.9511], device='cuda:0')",3.26,-11.87,0.01
47,track,"tensor([0.9504], device='cuda:0')",3.42,-11.69,0.18
48,track,"tensor([0.9505], device='cuda:0')",3.04,-11.72,-0.03
48,track,"tensor([0.9514], device='cuda:0')",3.30,-11.85,-0.13
48,track,"tensor([0.9507], device='cuda:0')",3.16,-11.86,-0.01
49,track,"tensor([0.9516], device='cuda:0')",3.09,-11.8,0.06
49,track,"tensor([0.9511], device='cuda:0')",3.57,-11.87,-0.07
49,track,"tensor([0.9507], device='cuda:0')",3.03,-11.93,-0.06
50,track,"tensor([0.9507], device='cuda:0')",2.97,-11.9,0.03
50,track,"tensor([0.9509], device='cuda:0')",3.01,-11.88,0.02
50,track,"tensor([0.9507], device='cuda:0')",3.30,-11.7,0.18
51,track,"tensor([0.9507], device='cuda:0')",3.31,-11.7,0.0
51,track,"tensor([0.9506], device='cuda:0')",2.67,-11.72,-0.02
51,track,"tensor([0.9513], device='cuda:0')",3.20,-11.72,0.0
52,track,"tensor([0.9505], device='cuda:0')",2.75,-11.73,-0.01
52,track,"tensor([0.9502], device='cuda:0')",2.87,-11.72,0.01
52,track,"tensor([0.9509], device='cuda:0')",4.07,-11.69,0.03
53,track,"tensor([0.9511], device='cuda:0')",3.28,-11.73,-0.04
53,track,"tensor([0.9504], device='cuda:0')",3.25,-11.72,0.01
53,track,"tensor([0.9504], device='cuda:0')",3.10,-11.72,0.0
53,track,"tensor([0.9517], device='cuda:0')",3.43,-11.7,0.02
54,track,"tensor([0.9504], device='cuda:0')",3.36,-11.69,0.01
54,track,"tensor([0.9512], device='cuda:0')",3.15,-11.73,-0.04
54,track,"tensor([0.9504], device='cuda:0')",3.90,-11.7,0.03
55,track,"tensor([0.9506], device='cuda:0')",3.48,-11.73,-0.03
55,track,"tensor([0.9510], device='cuda:0')",3.55,-11.77,-0.04
55,track,"tensor([0.9498], device='cuda:0')",4.36,-11.7,0.07
55,track,"tensor([0.9509], device='cuda:0')",3.44,-11.73,-0.03
56,track,"tensor([0.9485], device='cuda:0')",3.27,-11.76,-0.03
56,track,"tensor([0.9514], device='cuda:0')",3.01,-10.96,0.8
56,track,"tensor([0.9493], device='cuda:0')",3.54,-11.81,-0.85
57,track,"tensor([0.9510], device='cuda:0')",3.59,-10.96,0.85
57,track,"tensor([0.9480], device='cuda:0')",3.09,-11.84,-0.88
57,track,"tensor([0.9494], device='cuda:0')",3.23,-12.77,-0.93
58,track,"tensor([0.9492], device='cuda:0')",3.03,-11.82,0.95
58,track,"tensor([0.9490], device='cuda:0')",3.50,-11.8,0.02
58,track,"tensor([0.9496], device='cuda:0')",2.82,-11.77,0.03
59,track,"tensor([0.9481], device='cuda:0')",3.48,-11.75,0.02
59,track,"tensor([0.9492], device='cuda:0')",3.19,-13.04,-1.29
59,track,"tensor([0.9498], device='cuda:0')",3.08,-11.5,1.54
59,track,"tensor([0.9533], device='cuda:0')",3.70,-12.14,-0.64
00,track,"tensor([0.9443], device='cuda:0')",3.57,-12.35,-0.21
00,track,"tensor([0.9445], device='cuda:0')",2.94,-11.18,1.17
